,-1085.6939503914625,99.6339008875917
2007/10/02/afternoon,-800.8932745603346,41.38572162419957
2007/10/03/morning,-788.0674659969527,-403.32183884683946
2007/10/03/afternoon,-305.0862895166417,32.53756486536213
2007/10/04/morning,-291.6668028471316,-463.5948887930116
2007/10/04/afternoon,-980.9027719960935,-302.79209229976976
2007/10/05/morning,-542.5069709162585,-690.4988163589815
2007/10/05/afternoon,-426.85537828506784,-1053.3214789738088
2007/10/09/morning,-608.9627576040901,50.36171668201016
2007/10/09/afternoon,-1369.1836762013104,-573.4401558776156
2007/10/10/morning,-714.2478962653062,-868.3152980553425
2007/10/10/afternoon,-1882.0815099731622,-609.847215962159
2007/10/11/morning,-462.62406736531244,63.529350318874556
2007/10/11/afternoon,47.846002641872246,19.237006790177475
2007/10/12/morning,38.82958470079211,-337.53972248297686
2007/10/12/afternoon,27.62364878527785,-251.48284174012218
2007/10/15/morning,61.95171535051213,-102.82432962735174
2007/10/15/afternoon,-441.50254857844465,-625.559983244495
2007/10/16/morning,12.590764291868027,-98.34505979461223
2007/10/16/afternoon,Infinity,Infinity
2007/10/17/morning,13.592344436017697,-65.8359397290439
2007/10/17/afternoon,-185.5412463756082,-133.9029228933075
2007/10/18/morning,-130.8630310726264,17.234371386722614
2007/10/18/afternoon,-249.74106507671942,-272.38165446888775
2007/10/19/morning,18.33554488607041,-117.55474059024239
2007/10/19/afternoon,-228.6331126631714,-231.23721836648932
2007/10/22/morning,-261.8863380370914,28.600963623517597
2007/10/22/afternoon,-203.6507771453401,26.7746657442226
2007/10/23/morning,-442.1375159396601,-545.0368826159996
2007/10/23/afternoon,50.842535383203995,-271.92795240751866
2007/10/24/morning,-206.047312500927,32.36885500863923
2007/10/24/afternoon,28.55115353228325,-154.31075126484555
2007/10/25/morning,-331.86829628985674,-241.1419482499831
2007/10/25/afternoon,23.656339003381547,-179.54094655870907
2007/10/26/morning,-473.69332731173273,-384.1781308248108
2007/10/26/afternoon,-207.11836250828796,21.759357422678363
2007/10/29/morning,-343.1436145746078,27.946884560984017
2007/10/29/afternoon,25.579047733512652,-352.3061318831198
2007/10/30/morning,52.82371986168338,-171.45817349392746
2007/10/30/afternoon,-288.79567162949627,-294.7118316035887
2007/10/31/morning,-423.22719255909107,-293.2818922347103
2007/10/31/afternoon,-247.16381480874333,32.69159058490232
2007/11/01/morning,-462.6852049443942,39.26616771358481
2007/11/01/afternoon,-480.0876749007754,40.06260411446456
2007/11/02/morning,-252.37022587660414,-635.2063832108568
2007/11/02/afternoon,24.205074492644144,-310.54123760156693
2007/11/05/morning,32.34912780729872,-257.03734915777704
2007/11/05/afternoon,53.02159922758802,52.083964371793655
2007/11/06/morning,-48.83525228643889,23.11971355662763
2007/11/06/afternoon,36.94992838134567,-197.66772529200102
2007/11/07/morning,53.69643610869089,-503.3524323059559
2007/11/07/afternoon,19.914301041586782,-128.88205986545893
2007/11/08/morning,26.13207062850683,-179.33468111566347
2007/11/08/afternoon,28.138936044055498,-205.89544532768875
2007/11/09/morning,14.256580032523516,-67.24526934881622
2007/11/09/afternoon,18.61616137839396,-126.73974680806921
2007/11/12/morning,-152.06443656203982,-153.30641004836306
2007/11/12/afternoon,-106.98421445987985,19.507556665594883
2007/11/13/morning,-166.6844614954014,-151.90601036378928
2007/11/13/afternoon,15.208529833658151,-94.76074972014152
2007/11/14/morning,-260.18204831373134,-245.89217712136465
2007/11/14/afternoon,-276.569024738818,32.32198476429902
2007/11/15/morning,43.96337938296802,-410.75020951392816
2007/11/15/afternoon,20.177622391709974,-18.952306961116207
2007/11/16/morning,-282.50703083011774,-155.03293585191776
2007/11/16/afternoon,-136.3907358487865,25.1422654210894
2007/11/19/morning,-197.05978568977727,-212.73954969149514
2007/11/19/afternoon,19.361067831124252,-172.93038034419436
2007/11/20/morning,-226.63588782056365,-115.08149660567105
2007/11/20/afternoon,1806.9772140599105,78.61106992100758
2007/11/21/morning,14.936038187636676,-87.03074562041311
2007/11/21/afternoon,14.26701712447515,-94.46708623396962
2007/11/22/morning,-66.06398885470044,10.259891616962706
2007/11/22/afternoon,-129.1086065838597,18.91809020295785
2007/11/26/morning,-102.34345719551078,21.490177089630947
2007/11/26/afternoon,-193.23597518061362,27.3526350507205
2007/11/27/morning,32.52452849124613,32.087218929829
2007/11/27/afternoon,18.807529567492466,23.88463272207165
2007/11/28/morning,27.50496597855374,-147.126217171116
2007/11/28/afternoon,-280.28518008587116,-255.65975181511448
2007/11/29/morning,-253.70163760970692,-337.0986342685084
2007/11/29/afternoon,-390.31872652186206,44.11199549056389
2007/11/30/morning,-22.98808833883885,39.2969426788095
2007/11/30/afternoon,34.52139462602112,-224.80926939013548
2007/12/03/morning,Infinity,Infinity
2007/12/03/afternoon,239.02773502572558,59.88403502547352
2007/12/04/morning,Infinity,Infinity
2007/12/04/afternoon,Infinity,Infinity
2007/12/05/morning,60.218073532884006,137.58261089289869
2007/12/05/afternoon,Infinity,Infinity
2007/12/06/morning,46.71913305184388,100.46630154453538
2007/12/06/afternoon,Infinity,Infinity
2007/12/07/morning,58.84559052216467,102.37878173609329
2007/12/07/afternoon,Infinity,Infinity
2007/12/10/morning,Infinity,Infinity
2007/12/10/afternoon,Infinity,Infinity
2007/12/11/morning,143.54400312498566,114.78510245275996
2007/12/11/afternoon,143.09330048999334,248.03088649101508
2007/12/12/morning,45.8232355228039,98.25838094352461
2007/12/12/afternoon,Infinity,Infinity
2007/12/13/morning,42.63627542832896,166.7608562048113
2007/12/13/afternoon,Infinity,Infinity
2007/12/14/morning,-68.05049325981535,15.036348303584761
